metric,value
total_days,2066.0
trading_days,1373.0
years,5.6563997262149215
start_value,1000000.0
end_value,5845087.722868796
total_return,484.5087722868796
annual_return,36.63491065057376
annual_volatility,34.352755786399314
downside_volatility,22.040396266081707
max_drawdown,-30.27512037650809
sharpe_ratio,0.97910371033145
calmar_ratio,1.2100665561350017
sortino_ratio,1.526057437648479
win_rate,55.52238805970149
profit_loss_ratio,1.6138401478696864
total_trades,700.0
total_commission,313091.0858925736
avg_positions,0.9956300072833212
turnover_rate,1206.1683949792862
benchmark_total_return,40.83817751009677
benchmark_annual_return,6.49175668378057
benchmark_volatility,20.192054575006953
benchmark_max_drawdown,-37.16814306813671
benchmark_sharpe,0.17292726061183236
excess_return,443.6705947767828
annual_excess_return,30.14315396679319
tracking_error,37.05474477928172
information_ratio,11.973381477042334
beta,0.26338820563009063
alpha,32.715223123135914
