000001.SZ	2005-04-08	2005-06-30
000002.SZ	2005-04-08	2005-06-30
000009.SZ	2005-04-08	2005-06-30
000012.SZ	2005-04-08	2005-06-30
000016.SZ	2005-04-08	2005-06-30
000021.SZ	2005-04-08	2005-06-30
000022.SZ	2005-04-08	2005-06-30
000024.SZ	2005-04-08	2005-06-30
000027.SZ	2005-04-08	2005-06-30
000029.SZ	2005-04-08	2005-06-30
000031.SZ	2005-04-08	2005-06-30
000036.SZ	2005-04-08	2005-06-30
000039.SZ	2005-04-08	2005-06-30
000060.SZ	2005-04-08	2005-06-30
000061.SZ	2005-04-08	2005-06-30
000063.SZ	2005-04-08	2005-06-30
000066.SZ	2005-04-08	2005-06-30
000068.SZ	2005-04-08	2005-06-30
000069.SZ	2005-04-08	2005-06-30
000088.SZ	2005-04-08	2005-06-30
000089.SZ	2005-04-08	2005-06-30
000096.SZ	2005-04-08	2005-06-30
000100.SZ	2005-04-08	2005-06-30
000157.SZ	2005-04-08	2005-06-30
000400.SZ	2005-04-08	2005-06-30
000401.SZ	2005-04-08	2005-06-30
000402.SZ	2005-04-08	2005-06-30
000406.SZ	2005-04-08	2005-06-30
000410.SZ	2005-04-08	2005-06-30
000420.SZ	2005-04-08	2005-06-30
000423.SZ	2005-04-08	2005-06-30
000425.SZ	2005-04-08	2005-06-30
000429.SZ	2005-04-08	2005-06-30
000488.SZ	2005-04-08	2005-06-30
000498.SZ	2005-04-08	2005-06-30
000503.SZ	2005-04-08	2005-06-30
000507.SZ	2005-04-08	2005-06-30
000511.SZ	2005-04-08	2005-06-30
000518.SZ	2005-04-08	2005-06-30
000520.SZ	2005-04-08	2005-06-30
000527.SZ	2005-04-08	2005-06-30
000528.SZ	2005-04-08	2005-06-30
000532.SZ	2005-04-08	2005-06-30
000533.SZ	2005-04-08	2005-06-30
000539.SZ	2005-04-08	2005-06-30
000541.SZ	2005-04-08	2005-06-30
000543.SZ	2005-04-08	2005-06-30
000550.SZ	2005-04-08	2005-06-30
000559.SZ	2005-04-08	2005-06-30
000562.SZ	2005-04-08	2005-06-30
000568.SZ	2005-04-08	2005-06-30
000571.SZ	2005-04-08	2005-06-30
000573.SZ	2005-04-08	2005-06-30
000581.SZ	2005-04-08	2005-06-30
000601.SZ	2005-04-08	2005-06-30
000612.SZ	2005-04-08	2005-06-30
000623.SZ	2005-04-08	2005-06-30
000625.SZ	2005-04-08	2005-06-30
000629.SZ	2005-04-08	2005-06-30
000630.SZ	2005-04-08	2005-06-30
000636.SZ	2005-04-08	2005-06-30
000651.SZ	2005-04-08	2005-06-30
000659.SZ	2005-04-08	2005-06-30
000666.SZ	2005-04-08	2005-06-30
000680.SZ	2005-04-08	2005-06-30
000682.SZ	2005-04-08	2005-06-30
000698.SZ	2005-04-08	2005-06-30
000708.SZ	2005-04-08	2005-06-30
000709.SZ	2005-04-08	2005-06-30
000717.SZ	2005-04-08	2005-06-30
000725.SZ	2005-04-08	2005-06-30
