trade_date,ts_code,trade_type
2022-02-23,600276.SH,sell
2022-02-23,600919.SH,sell
2022-02-23,600916.SH,sell
2022-02-23,601890.SH,sell
2022-02-23,000630.SZ,sell
2022-02-24,300181.SZ,buy
2022-02-24,601890.SH,buy
2022-02-24,600919.SH,buy
2022-02-24,600276.SH,buy
2022-02-24,000630.SZ,buy
2022-02-24,603259.SH,buy
2022-02-24,600916.SH,buy
2022-02-24,601222.SH,buy
2022-02-24,002056.SZ,buy
2022-02-24,300181.SZ,sell
2022-02-24,002056.SZ,sell
2022-02-24,000755.SZ,sell
2022-02-24,601222.SH,sell
2022-02-24,603259.SH,sell
2022-02-24,600276.SH,sell
2022-02-24,600919.SH,sell
2022-02-24,600916.SH,sell
2022-02-24,601890.SH,sell
2022-02-24,000630.SZ,sell
2022-02-25,000630.SZ,sell
2022-02-25,600276.SH,buy
2022-02-25,601222.SH,buy
2022-02-25,600821.SH,buy
2022-02-25,002056.SZ,buy
2022-02-25,002056.SZ,sell
2022-02-25,601890.SH,buy
2022-02-25,601222.SH,sell
2022-02-25,603259.SH,sell
2022-02-25,600276.SH,sell
2022-02-25,600919.SH,sell
2022-02-25,300181.SZ,sell
2022-02-25,600916.SH,sell
2022-02-25,601890.SH,sell
2022-02-28,601857.SH,buy
2022-02-28,601222.SH,buy
2022-02-28,600968.SH,buy
2022-02-28,601179.SH,buy
2022-02-28,601890.SH,buy
2022-02-28,000975.SZ,buy
2022-02-28,601952.SH,buy
2022-02-28,600276.SH,sell
2022-02-28,002056.SZ,sell
2022-02-28,600821.SH,sell
2022-02-28,601222.SH,sell
2022-02-28,601890.SH,sell
2022-03-01,601880.SH,buy
2022-03-01,601952.SH,buy
2022-03-01,600968.SH,buy
2022-03-01,601222.SH,buy
2022-03-01,601179.SH,buy
2022-03-01,601890.SH,buy
2022-03-01,600795.SH,buy
2022-03-01,601985.SH,buy
2022-03-01,600968.SH,sell
2022-03-01,000975.SZ,sell
2022-03-01,601857.SH,sell
2022-03-01,601222.SH,sell
2022-03-01,601179.SH,sell
2022-03-01,601890.SH,sell
2022-03-01,601952.SH,sell
2022-03-01,000975.SZ,buy
2022-03-02,601222.SH,buy
2022-03-02,601952.SH,buy
2022-03-02,600968.SH,buy
2022-03-02,601018.SH,buy
2022-03-02,601985.SH,buy
2022-03-02,600795.SH,buy
2022-03-02,601880.SH,buy
2022-03-02,600968.SH,sell
2022-03-02,601985.SH,sell
2022-03-02,000975.SZ,sell
2022-03-02,601880.SH,sell
2022-03-02,601222.SH,sell
2022-03-02,601179.SH,sell
2022-03-02,601890.SH,sell
2022-03-02,601952.SH,sell
2022-03-02,600795.SH,sell
2022-03-03,601018.SH,buy
2022-03-03,601880.SH,buy
2022-03-03,601952.SH,buy
2022-03-03,600968.SH,buy
2022-03-03,601658.SH,buy
2022-03-03,601669.SH,buy
2022-03-03,601985.SH,buy
2022-03-03,601918.SH,buy
2022-03-03,601880.SH,sell
2022-03-03,600968.SH,sell
2022-03-03,601985.SH,sell
2022-03-03,600795.SH,sell
2022-03-03,600795.SH,buy
2022-03-03,601018.SH,sell
2022-03-03,601222.SH,sell
2022-03-03,601952.SH,sell
2022-03-04,601880.SH,buy
2022-03-04,601952.SH,buy
2022-03-04,600795.SH,buy
2022-03-04,601669.SH,buy
2022-03-04,601225.SH,buy
2022-03-04,601985.SH,buy
2022-03-04,601018.SH,buy
2022-03-04,601918.SH,buy
2022-03-04,600968.SH,sell
2022-03-04,601985.SH,sell
2022-03-04,600795.SH,sell
2022-03-04,601880.SH,sell
2022-03-04,601018.SH,sell
2022-03-04,601952.SH,sell
2022-03-04,601658.SH,sell
2022-03-04,601669.SH,sell
2022-03-04,601918.SH,sell
2022-03-07,601880.SH,buy
2022-03-07,600863.SH,buy
2022-03-07,601952.SH,buy
2022-03-07,600795.SH,buy
2022-03-07,601669.SH,buy
2022-03-07,601225.SH,buy
2022-03-07,601985.SH,buy
2022-03-07,601918.SH,buy
2022-03-07,601918.SH,sell
2022-03-07,601985.SH,sell
2022-03-07,601225.SH,sell
2022-03-07,600795.SH,sell
2022-03-07,601880.SH,sell
2022-03-07,601018.SH,sell
2022-03-07,601952.SH,sell
2022-03-07,601669.SH,sell
2022-03-07,002060.SZ,buy
2022-03-08,601918.SH,buy
2022-03-08,601952.SH,buy
2022-03-08,600795.SH,buy
2022-03-08,601669.SH,buy
2022-03-08,601225.SH,buy
2022-03-08,600587.SH,buy
2022-03-08,601985.SH,buy
2022-03-08,002060.SZ,buy
2022-03-08,002060.SZ,sell
2022-03-08,601225.SH,sell
2022-03-08,600795.SH,sell
2022-03-08,601880.SH,sell
2022-03-08,600863.SH,sell
2022-03-08,601952.SH,sell
2022-03-08,601669.SH,sell
2022-03-08,601918.SH,sell
2022-03-08,601985.SH,sell
2022-03-09,601952.SH,buy
2022-03-09,002226.SZ,buy
