trade_date,ts_code,trade_type
2020-03-02,510410.SH,buy
2020-03-02,159934.SZ,sell
2020-03-02,510050.SH,sell
2020-03-02,518880.SH,sell
2020-03-02,510900.SH,sell
2020-03-02,510150.SH,sell
2020-03-03,512400.SH,buy
2020-03-03,159934.SZ,buy
2020-03-03,512660.SH,sell
2020-03-03,518880.SH,buy
2020-03-03,512680.SH,sell
2020-03-03,512400.SH,sell
2020-03-03,512800.SH,sell
2020-03-03,510410.SH,sell
2020-03-04,518880.SH,sell
2020-03-04,159934.SZ,sell
2020-03-04,512400.SH,sell
2020-03-04,518880.SH,buy
2020-03-04,159934.SZ,buy
2020-03-05,159934.SZ,buy
2020-03-05,518880.SH,buy
2020-03-05,159934.SZ,sell
2020-03-05,518880.SH,sell
2020-03-06,518880.SH,sell
2020-03-06,159934.SZ,sell
2020-03-06,518880.SH,buy
2020-03-06,159934.SZ,buy
2020-03-09,518880.SH,sell
2020-03-09,159934.SZ,sell
2020-03-09,518880.SH,buy
2020-03-09,159934.SZ,buy
2020-03-10,159941.SZ,buy
2020-03-10,513030.SH,buy
2020-03-10,513500.SH,buy
2020-03-10,518880.SH,buy
2020-03-10,513100.SH,buy
2020-03-10,159934.SZ,sell
2020-03-10,518880.SH,sell
2020-03-11,513500.SH,sell
2020-03-11,513030.SH,sell
2020-03-11,518880.SH,sell
2020-03-11,513100.SH,sell
2020-03-11,159941.SZ,sell
2020-03-11,518880.SH,buy
2020-03-11,159934.SZ,buy
2020-03-12,159934.SZ,buy
2020-03-12,518880.SH,buy
2020-03-12,518880.SH,sell
2020-03-12,159934.SZ,sell
2020-03-13,518880.SH,sell
2020-03-13,159934.SZ,sell
2020-03-13,513100.SH,buy
2020-03-13,518880.SH,buy
2020-03-13,513500.SH,buy
2020-03-13,513030.SH,buy
2020-03-13,159941.SZ,buy
2020-03-16,518880.SH,sell
2020-03-16,513030.SH,buy
2020-03-16,513500.SH,buy
2020-03-16,159934.SZ,buy
2020-03-16,518880.SH,buy
2020-03-16,513030.SH,sell
2020-03-16,513100.SH,sell
2020-03-16,159937.SZ,buy
2020-03-16,513500.SH,sell
2020-03-16,159941.SZ,sell
2020-03-17,512880.SH,buy
2020-03-17,159939.SZ,buy
2020-03-17,512000.SH,buy
2020-03-17,513100.SH,buy
2020-03-17,159902.SZ,buy
2020-03-17,518880.SH,sell
2020-03-17,513030.SH,sell
2020-03-17,159934.SZ,sell
2020-03-17,513500.SH,sell
2020-03-17,159937.SZ,sell
2020-03-18,512000.SH,sell
2020-03-18,512880.SH,sell
2020-03-18,159902.SZ,sell
2020-03-18,159939.SZ,sell
2020-03-18,513100.SH,sell
2020-03-18,510900.SH,buy
2020-03-18,518880.SH,buy
2020-03-18,159934.SZ,buy
2020-03-18,513050.SH,buy
2020-03-18,512400.SH,buy
2020-03-19,159941.SZ,buy
2020-03-19,512400.SH,buy
2020-03-19,518880.SH,buy
2020-03-19,510900.SH,buy
2020-03-19,513030.SH,buy
2020-03-19,518880.SH,sell
2020-03-19,510900.SH,sell
2020-03-19,512400.SH,sell
2020-03-19,159934.SZ,sell
2020-03-19,513050.SH,sell
2020-03-20,159920.SZ,buy
2020-03-20,510900.SH,buy
2020-03-20,159901.SZ,buy
2020-03-20,510050.SH,buy
2020-03-20,510300.SH,buy
2020-03-20,518880.SH,sell
2020-03-20,510900.SH,sell
2020-03-20,512400.SH,sell
2020-03-20,513030.SH,sell
2020-03-20,159941.SZ,sell
2020-03-23,513030.SH,buy
2020-03-23,510300.SH,sell
2020-03-23,510900.SH,sell
2020-03-23,159920.SZ,sell
2020-03-23,510050.SH,sell
2020-03-23,159901.SZ,sell
2020-03-23,510900.SH,buy
2020-03-23,518880.SH,buy
2020-03-23,159934.SZ,buy
2020-03-23,513500.SH,buy
2020-03-24,513030.SH,buy
2020-03-24,512220.SH,buy
2020-03-24,512400.SH,buy
2020-03-24,512200.SH,buy
2020-03-24,513500.SH,buy
2020-03-24,513500.SH,sell
2020-03-24,510900.SH,sell
2020-03-24,513030.SH,sell
2020-03-24,159934.SZ,sell
2020-03-24,518880.SH,sell
2020-03-25,513500.SH,buy
2020-03-25,159934.SZ,buy
2020-03-25,518880.SH,buy
2020-03-25,513100.SH,buy
2020-03-25,510900.SH,buy
2020-03-25,512220.SH,sell
2020-03-25,512400.SH,sell
2020-03-25,513030.SH,sell
2020-03-25,513500.SH,sell
2020-03-25,512200.SH,sell
2020-03-26,518880.SH,buy
2020-03-26,512400.SH,buy
2020-03-26,512700.SH,buy
2020-03-26,159934.SZ,buy
2020-03-26,510900.SH,buy
2020-03-26,513500.SH,sell
2020-03-26,518880.SH,sell
2020-03-26,510900.SH,sell
2020-03-26,159934.SZ,sell
2020-03-26,513100.SH,sell
2020-03-27,159934.SZ,buy
2020-03-27,512400.SH,buy
2020-03-27,159937.SZ,buy
2020-03-27,513030.SH,buy
2020-03-27,510900.SH,buy
2020-03-27,159934.SZ,sell
2020-03-27,510900.SH,sell
2020-03-27,512400.SH,sell
2020-03-27,512700.SH,sell
2020-03-27,518880.SH,sell
2020-03-30,512400.SH,buy
2020-03-30,510710.SH,buy
2020-03-30,159937.SZ,buy
2020-03-30,159934.SZ,buy
2020-03-30,513100.SH,buy
2020-03-30,510900.SH,sell
2020-03-30,512400.SH,sell
2020-03-30,513030.SH,sell
2020-03-30,159934.SZ,sell
2020-03-30,159937.SZ,sell
2020-03-31,513100.SH,buy
2020-03-31,159937.SZ,buy
2020-03-31,513030.SH,buy
2020-03-31,159934.SZ,buy
2020-03-31,510900.SH,buy
2020-03-31,159934.SZ,sell
2020-03-31,513100.SH,sell
2020-03-31,512400.SH,sell
2020-03-31,159937.SZ,sell
2020-03-31,510710.SH,sell
2020-04-01,159934.SZ,sell
2020-04-01,513030.SH,sell
2020-04-01,510900.SH,sell
2020-04-01,513100.SH,sell
2020-04-01,159901.SZ,buy
2020-04-01,518880.SH,buy
2020-04-01,159937.SZ,buy
2020-04-01,159939.SZ,buy
2020-04-01,512330.SH,buy
2020-04-01,159937.SZ,sell
2020-04-02,512880.SH,buy
2020-04-02,513100.SH,buy
2020-04-02,159937.SZ,buy
2020-04-02,518880.SH,buy
2020-04-02,159901.SZ,buy
2020-04-02,159937.SZ,sell
2020-04-02,159939.SZ,sell
2020-04-02,518880.SH,sell
2020-04-02,512330.SH,sell
2020-04-02,159901.SZ,sell
2020-04-03,512880.SH,buy
2020-04-03,159937.SZ,buy
2020-04-03,513030.SH,buy
2020-04-03,518880.SH,buy
2020-04-03,510900.SH,buy
2020-04-03,159901.SZ,sell
2020-04-03,513100.SH,sell
2020-04-03,518880.SH,sell
2020-04-03,512880.SH,sell
2020-04-03,159937.SZ,sell
2020-04-06,513500.SH,buy
2020-04-06,512880.SH,buy
2020-04-06,159937.SZ,buy
2020-04-06,513030.SH,buy
2020-04-06,518880.SH,buy
2020-04-06,510900.SH,sell
2020-04-06,518880.SH,sell
2020-04-06,159937.SZ,sell
2020-04-06,513030.SH,sell
2020-04-06,512880.SH,sell
2020-04-08,512880.SH,buy
2020-04-08,510710.SH,buy
2020-04-08,159937.SZ,buy
2020-04-08,513030.SH,buy
2020-04-08,518880.SH,buy
2020-04-08,159937.SZ,sell
2020-04-08,518880.SH,sell
2020-04-08,513030.SH,sell
2020-04-08,512880.SH,sell
2020-04-08,513500.SH,sell
2020-04-09,512880.SH,buy
2020-04-09,159937.SZ,buy
2020-04-09,518880.SH,buy
2020-04-09,159937.SZ,sell
2020-04-09,510710.SH,buy
2020-04-09,518880.SH,sell
2020-04-09,513030.SH,sell
2020-04-09,512880.SH,sell
2020-04-09,510710.SH,sell
2020-04-10,518880.SH,sell
2020-04-10,512880.SH,sell
2020-04-10,510710.SH,sell
2020-04-10,159937.SZ,sell
2020-04-10,518880.SH,buy
2020-04-10,159937.SZ,buy
2020-04-10,510710.SH,buy
2020-04-10,512880.SH,buy
2020-04-13,512880.SH,buy
2020-04-13,513600.SH,buy
2020-04-13,159937.SZ,buy
2020-04-13,518880.SH,buy
2020-04-13,518880.SH,sell
2020-04-13,159937.SZ,sell
2020-04-13,510710.SH,sell
2020-04-13,512880.SH,sell
2020-04-13,510900.SH,buy
2020-04-14,159937.SZ,buy
2020-04-14,512330.SH,buy
2020-04-14,159939.SZ,buy
2020-04-14,518880.SH,buy
2020-04-14,513600.SH,buy
2020-04-14,518880.SH,sell
2020-04-14,510900.SH,sell
2020-04-14,159937.SZ,sell
2020-04-14,513600.SH,sell
2020-04-14,512880.SH,sell
2020-04-15,512880.SH,buy
2020-04-15,513600.SH,buy
2020-04-15,159937.SZ,buy
2020-04-15,518880.SH,buy
2020-04-15,510900.SH,buy
2020-04-15,159937.SZ,sell
2020-04-15,159939.SZ,sell
2020-04-15,518880.SH,sell
2020-04-15,513600.SH,sell
2020-04-15,512330.SH,sell
2020-04-16,513600.SH,buy
2020-04-16,159937.SZ,buy
2020-04-16,518880.SH,buy
2020-04-16,510900.SH,buy
2020-04-16,512880.SH,buy
2020-04-16,518880.SH,sell
2020-04-16,510900.SH,sell
2020-04-16,513600.SH,sell
2020-04-16,512880.SH,sell
2020-04-16,159937.SZ,sell
2020-04-17,513600.SH,buy
2020-04-17,159937.SZ,buy
2020-04-17,518880.SH,buy
2020-04-17,510900.SH,buy
2020-04-17,513050.SH,buy
2020-04-17,518880.SH,sell
2020-04-17,510900.SH,sell
2020-04-17,513600.SH,sell
2020-04-17,512880.SH,sell
2020-04-17,159937.SZ,sell
2020-04-20,512880.SH,buy
2020-04-20,513600.SH,buy
2020-04-20,159937.SZ,buy
2020-04-20,518880.SH,buy
2020-04-20,510900.SH,buy
2020-04-20,159937.SZ,sell
2020-04-20,518880.SH,sell
2020-04-20,510900.SH,sell
2020-04-20,513600.SH,sell
2020-04-20,513050.SH,sell
2020-04-21,518880.SH,buy
2020-04-21,512880.SH,buy
2020-04-21,513600.SH,buy
2020-04-21,159937.SZ,buy
2020-04-21,510900.SH,buy
2020-04-21,513600.SH,sell
2020-04-21,518880.SH,sell
2020-04-21,510900.SH,sell
2020-04-21,159937.SZ,sell
2020-04-21,512880.SH,sell
2020-04-22,512880.SH,buy
2020-04-22,513600.SH,buy
2020-04-22,159937.SZ,buy
2020-04-22,518880.SH,buy
2020-04-22,510900.SH,buy
2020-04-22,518880.SH,sell
2020-04-22,510900.SH,sell
2020-04-22,513600.SH,sell
2020-04-22,512880.SH,sell
2020-04-22,159937.SZ,sell
2020-04-23,518880.SH,buy
2020-04-23,512880.SH,buy
2020-04-23,513600.SH,buy
2020-04-23,159937.SZ,buy
2020-04-23,510900.SH,buy
2020-04-23,159937.SZ,sell
2020-04-23,518880.SH,sell
2020-04-23,510900.SH,sell
2020-04-23,513600.SH,sell
2020-04-23,512880.SH,sell
2020-04-24,512880.SH,buy
2020-04-24,513600.SH,buy
2020-04-24,159937.SZ,buy
2020-04-24,518880.SH,buy
2020-04-24,510900.SH,buy
2020-04-24,159937.SZ,sell
2020-04-24,518880.SH,sell
2020-04-24,510900.SH,sell
2020-04-24,513600.SH,sell
