metric,value
total_days,2066.0
trading_days,1373.0
years,5.6563997262149215
start_value,1000000.0
end_value,4784959.295470627
total_return,378.4959295470627
annual_return,31.885268395657683
annual_volatility,32.46181627709005
downside_volatility,27.207906367496076
max_drawdown,-47.20288389683876
sharpe_ratio,0.8898229276235379
calmar_ratio,0.6754940750091136
sortino_ratio,1.0616498015505327
win_rate,64.14523449319213
profit_loss_ratio,1.2134415417698556
total_trades,2686.0
total_commission,342313.4847573911
avg_positions,0.9985433357611071
turnover_rate,1361.4066609342067
benchmark_total_return,40.83817751009677
benchmark_annual_return,6.49175668378057
benchmark_volatility,20.192054575006953
benchmark_max_drawdown,-37.16814306813671
benchmark_sharpe,0.17292726061183236
excess_return,337.6577520369659
annual_excess_return,25.393511711877114
tracking_error,24.988708653453582
information_ratio,13.512413014999865
beta,1.02650708487642
alpha,25.300955421092336
