trade_date,ts_code
2022-03-01,SZ000863
2022-03-01,SZ000550
2022-03-01,SZ002048
2022-04-01,SH601000
2022-04-01,SZ000761
2022-04-01,SH600681
2022-04-01,SH600019
2022-04-01,SZ000825
2022-04-01,SZ002293
2022-04-01,SZ002763
2022-04-01,SZ000651
2022-04-01,SZ000550
2022-04-01,SZ002048
2022-05-05,SZ000671
2022-05-05,SZ002416
2022-05-05,SZ002014
2022-05-05,SH600681
2022-05-05,SZ002469
2022-05-05,SZ002275
2022-05-05,SZ000538
2022-05-05,SH603017
2022-05-05,SH600479
2022-05-05,SH600516
2022-06-01,SZ002154
2022-06-01,SH600810
2022-06-01,SH603444
2022-06-01,SZ002728
2022-06-01,SH600919
2022-06-01,SZ002275
2022-06-01,SZ002624
2022-06-01,SZ000651
2022-06-01,SH600479
2022-06-01,SH688399
2022-07-01,SH600810
2022-07-01,SH600028
2022-07-01,SZ002774
2022-07-01,SH600755
2022-07-01,SH600782
2022-07-01,SH600015
2022-07-01,SZ000651
2022-07-01,SH603013
2022-07-01,SZ000937
2022-07-01,SH601339
2022-08-01,SZ002154
2022-08-01,SH600028
2022-08-01,SH600810
2022-08-01,SZ000830
2022-08-01,SH600782
2022-08-01,SH600012
2022-08-01,SH601866
2022-08-01,SZ000651
2022-08-01,SH600546
2022-08-01,SZ000937
2022-09-01,SZ002154
2022-09-01,SH600028
2022-09-01,SH603565
2022-09-01,SZ000830
2022-09-01,SZ300389
2022-09-01,SH600327
2022-09-01,SH601825
2022-09-01,SZ000651
2022-09-01,SZ000937
2022-09-01,SH688399
2022-10-10,SZ002818
2022-10-10,SH603565
2022-10-10,SZ000830
2022-10-10,SZ300389
2022-10-10,SH603928
2022-10-10,SZ002624
2022-10-10,SH688399
2022-10-10,SH600295
2022-10-10,SH601825
2022-10-10,SH601919
2022-11-01,SZ002154
2022-11-01,SH600548
2022-11-01,SH603565
2022-11-01,SZ300389
2022-11-01,SH600295
2022-11-01,SH601825
2022-11-01,SZ002624
2022-11-01,SZ000651
2022-11-01,SH600546
2022-11-01,SZ000937
2022-12-01,SZ002154
2022-12-01,SH600548
2022-12-01,SZ300389
2022-12-01,SH603928
2022-12-01,SZ000651
2022-12-01,SH688399
2022-12-01,SH600546
2022-12-01,SH601825
2022-12-01,SH601919
2022-12-01,SH601339
2023-01-03,SH603565
2023-01-03,SZ300389
2023-01-03,SH603928
2023-01-03,SZ002624
2023-01-03,SH600546
2023-01-03,SH688399
2023-01-03,SH600188
2023-01-03,SH600295
2023-01-03,SZ000937
2023-01-03,SH601919
2023-02-01,SZ002154
2023-02-01,SH600548
2023-02-01,SH603565
2023-02-01,SH601088
2023-02-01,SH601598
2023-02-01,SH688399
2023-02-01,SH600188
2023-02-01,SH600546
2023-02-01,SZ000937
2023-02-01,SH601919
2023-03-01,SH600548
2023-03-01,SH603565
2023-03-01,SH601088
2023-03-01,SH601598
2023-03-01,SZ000651
2023-03-01,SH600188
2023-03-01,SH688399
2023-03-01,SH600295
2023-03-01,SZ000937
2023-03-01,SH601919
2023-04-03,SZ002154
2023-04-03,SH601088
2023-04-03,SH600295
2023-04-03,SH603928
2023-04-03,SZ000651
2023-04-03,SH600188
2023-04-03,SH688399
2023-04-03,SH600546
2023-04-03,SZ000937
2023-04-03,SH601919
2023-05-04,SZ002774
2023-05-04,SH603758
2023-05-04,SH600403
2023-05-04,SZ000408
2023-05-04,SZ000895
2023-05-04,SH600398
2023-05-04,SH600188
2023-05-04,SZ300100
2023-05-04,SH601919
2023-05-04,SH601339
2023-06-01,SH600548
2023-06-01,SH603697
2023-06-01,SH603551
2023-06-01,SH603758
2023-06-01,SH603706
2023-06-01,SH600403
2023-06-01,SZ000408
2023-06-01,SZ000651
2023-06-01,SH600546
2023-06-01,SZ000937
2023-07-03,SH600548
2023-07-03,SH600348
2023-07-03,SZ000408
2023-07-03,SH601699
2023-07-03,SH601101
2023-07-03,SH600971
2023-07-03,SH600256
2023-07-03,SH600546
2023-07-03,SH601229
2023-07-03,SZ000937
2023-08-01,SH600403
2023-08-01,SZ300389
2023-08-01,SH601699
2023-08-01,SH601225
2023-08-01,SH600377
2023-08-01,SH600971
2023-08-01,SH601298
2023-08-01,SH600256
2023-08-01,SH600546
2023-08-01,SZ000937
2023-09-01,SH605368
2023-09-01,SH600548
2023-09-01,SH603758
2023-09-01,SH600162
2023-09-01,SZ002697
2023-09-01,SH600438
2023-09-01,SH600971
2023-09-01,SH600066
2023-09-01,SZ000517
2023-09-01,SZ000937
2023-10-09,SH605098
2023-10-09,SH600039
2023-10-09,SH603758
2023-10-09,SH600162
2023-10-09,SH603682
2023-10-09,SZ002697
2023-10-09,SZ002327
2023-10-09,SH600438
2023-10-09,SZ000517
2023-10-09,SH603156
2023-11-01,SZ002818
2023-11-01,SH600039
2023-11-01,SH603519
2023-11-01,SH600153
2023-11-01,SH600162
2023-11-01,SZ300533
2023-11-01,SZ002697
2023-11-01,SH600012
2023-11-01,SH603758
2023-11-01,SH600971
2023-12-01,SZ002818
2023-12-01,SH600039
2023-12-01,SH603519
2023-12-01,SH600153
2023-12-01,SH600162
2023-12-01,SZ002697
2023-12-01,SH601009
2023-12-01,SH600066
2023-12-01,SH603156
2023-12-01,SZ002394
2024-01-02,SZ002818
2024-01-02,SH600039
2024-01-02,SH600153
2024-01-02,SH603519
2024-01-02,SH603758
2024-01-02,SZ002697
2024-01-02,SH600066
2024-01-02,SZ000631
2024-01-02,SH603156
2024-01-02,SZ002394
2024-02-01,SH603758
2024-02-01,SH603551
2024-02-01,SZ300533
2024-02-01,SZ002697
2024-02-01,SZ002632
2024-02-01,SH600481
2024-02-01,SZ000631
2024-02-01,SH600983
2024-02-01,SZ002540
2024-02-01,SZ002394
2024-03-01,SZ002818
2024-03-01,SH603519
2024-03-01,SH603551
2024-03-01,SH600162
2024-03-01,SZ002697
2024-03-01,SH603758
2024-03-01,SZ000631
2024-03-01,SH600983
2024-03-01,SZ002540
2024-03-01,SZ002394
2024-04-01,SZ002818
2024-04-01,SH600039
2024-04-01,SH600153
2024-04-01,SH603519
2024-04-01,SZ002697
2024-04-01,SH600971
2024-04-01,SZ000631
2024-04-01,SH600983
2024-04-01,SH603279
2024-04-01,SZ002394
2024-05-06,SH605368
2024-05-06,SH600548
2024-05-06,SH603558
2024-05-06,SZ002969
2024-05-06,SH688075
2024-05-06,SH688317
2024-05-06,SH603156
2024-05-06,SZ002757
2024-05-06,SH600433
2024-05-06,SH601339
2024-06-03,SH688606
2024-06-03,SZ002674
2024-06-03,SH688075
2024-06-03,SZ000930
2024-06-03,SZ301203
2024-06-03,SZ000333
2024-06-03,SH603279
2024-06-03,SZ002757
2024-06-03,SH603886
