trade_date,ts_code
20220401,600415.SH
20220401,600089.SH
20220401,601007.SH
20220401,600971.SH
20220406,601985.SH
20220406,002244.SZ
20220406,600557.SH
20220406,600415.SH
20220406,600089.SH
20220406,601007.SH
20220406,600971.SH
20220406,600279.SH
20220407,600557.SH
20220407,601007.SH
20220407,601857.SH
20220407,601985.SH
20220407,601800.SH
20220407,002244.SZ
20220407,600415.SH
20220411,002056.SZ
20220411,600995.SH
20220411,000975.SZ
20220411,601225.SH
20220411,601985.SH
20220411,002244.SZ
20220411,601800.SH
20220411,600557.SH
20220411,600415.SH
20220411,601857.SH
20220412,002056.SZ
20220412,600995.SH
20220412,000975.SZ
20220412,601225.SH
20220412,600557.SH
20220413,002056.SZ
20220413,600995.SH
20220413,000975.SZ
20220413,601838.SH
20220413,601225.SH
20220413,600062.SH
20220413,601228.SH
20220413,601696.SH
20220413,601898.SH
20220413,600795.SH
20220414,002056.SZ
20220414,601696.SH
20220414,601898.SH
20220414,601225.SH
20220414,600062.SH
20220415,002056.SZ
20220415,601611.SH
20220415,002244.SZ
20220415,600062.SH
20220415,601696.SH
20220415,000651.SZ
20220415,601007.SH
20220415,601898.SH
20220415,000333.SZ
20220418,002056.SZ
20220418,601611.SH
20220418,002244.SZ
20220418,601696.SH
20220418,000651.SZ
20220418,601007.SH
20220418,601898.SH
20220418,000333.SZ
20220418,600795.SH
20220418,600863.SH
20220419,002056.SZ
20220419,601611.SH
20220419,002154.SZ
20220419,000651.SZ
20220419,601898.SH
20220419,601007.SH
20220419,603056.SH
20220419,000333.SZ
20220419,600795.SH
20220419,600863.SH
20220420,601611.SH
20220420,000651.SZ
20220420,002154.SZ
20220420,603056.SH
20220420,600795.SH
20220420,600863.SH
20220421,600795.SH
20220421,603444.SH
20220421,300856.SZ
20220421,002154.SZ
20220421,603056.SH
20220421,600026.SH
20220421,600863.SH
20220422,600795.SH
20220422,603444.SH
20220422,688169.SH
20220422,002154.SZ
20220422,002959.SZ
20220422,600026.SH
20220422,603871.SH
20220422,300856.SZ
20220422,601398.SH
20220422,600863.SH
20220425,600795.SH
20220425,603444.SH
20220425,002959.SZ
20220425,600026.SH
20220425,603871.SH
20220425,300856.SZ
20220425,688169.SH
20220425,600863.SH
20220426,600795.SH
20220426,603357.SH
20220426,002959.SZ
20220426,600026.SH
20220426,603856.SH
20220426,000682.SZ
20220426,688169.SH
20220426,600863.SH
20220426,603129.SH
20220427,601390.SH
20220427,600795.SH
20220427,002060.SZ
20220427,603357.SH
20220427,688169.SH
20220427,002959.SZ
20220427,601800.SH
20220427,601398.SH
20220427,600863.SH
20220428,601390.SH
20220428,600795.SH
20220428,002060.SZ
20220428,603357.SH
20220428,688169.SH
20220428,002959.SZ
20220428,601800.SH
20220428,601669.SH
20220428,601398.SH
20220429,601390.SH
20220429,002060.SZ
20220429,603357.SH
20220429,688169.SH
20220429,601800.SH
20220429,601857.SH
20220429,601669.SH
20220429,601658.SH
20220429,601398.SH
20220505,601390.SH
20220505,002060.SZ
20220505,603357.SH
20220505,601800.SH
20220505,601857.SH
20220505,601669.SH
20220505,601658.SH
20220505,688169.SH
20220506,601390.SH
20220506,002060.SZ
20220506,603357.SH
20220506,601800.SH
20220506,601857.SH
20220506,603299.SH
20220506,601669.SH
20220506,601658.SH
20220506,688169.SH
20220510,601390.SH
20220510,603299.SH
20220510,002060.SZ
20220510,603357.SH
20220510,601800.SH
20220510,601857.SH
20220511,601390.SH
20220511,600030.SH
20220511,600025.SH
20220511,600050.SH
20220511,601800.SH
20220511,600820.SH
20220511,601857.SH
20220511,603299.SH
20220511,600021.SH
20220512,600030.SH
20220512,600025.SH
20220512,600021.SH
20220512,600050.SH
20220512,600820.SH
20220512,000630.SZ
20220512,601857.SH
20220513,600030.SH
20220513,600025.SH
20220513,002959.SZ
20220513,600050.SH
20220513,600919.SH
20220513,600820.SH
20220513,000630.SZ
20220513,600021.SH
20220513,002807.SZ
20220516,600030.SH
20220516,600025.SH
20220516,002959.SZ
20220516,600919.SH
20220516,000630.SZ
20220516,601899.SH
20220516,600021.SH
20220516,002807.SZ
20220517,600905.SH
20220517,600030.SH
20220517,600025.SH
20220517,600919.SH
20220517,000630.SZ
20220517,601899.SH
20220517,600795.SH
20220517,002807.SZ
20220518,601899.SH
20220518,601611.SH
20220518,600030.SH
20220518,600919.SH
20220518,000630.SZ
20220518,601857.SH
20220518,002807.SZ
20220519,600030.SH
20220519,600919.SH
20220519,000630.SZ
20220519,601857.SH
