date,stock_code,action,quantity,price,amount,commission,total_cost,position_ratio,net_amount,avg_cost,return_rate,holding_days
2025-02-27,002507.SZ,rebalance_buy,4300,18.408101008705888,79154.83433743531,79.15483433743532,79233.98917177274,1.3290912865842301,,,,
2025-02-27,603878.SH,rebalance_buy,3900,13.951688178984366,54411.583898039025,54.41158389803903,54465.99548193706,0.9136265984695336,,,,
2025-02-27,002025.SZ,rebalance_buy,700,54.31685793968392,38021.80055777875,38.02180055777875,38059.822358336525,0.638425236368507,,,,
2025-02-27,688425.SH,rebalance_buy,16200,4.49778378264331,72864.09727882163,72.86409727882163,72936.96137610046,1.2234633248711988,,,,
2025-02-27,300751.SZ,rebalance_buy,100,486.6223529642321,48662.23529642321,48.66223529642321,48710.89753171964,0.8170891071854557,,,,
2025-02-27,600458.SH,rebalance_buy,3400,14.02301043299636,47678.235472187625,47.67823547218762,47725.91370765981,0.8005667355155623,,,,
2025-02-27,001979.SZ,rebalance_buy,6300,11.842488403099065,74607.67693952411,74.60767693952411,74682.28461646364,1.2527398252126212,,,,
2025-02-28,002508.SZ,rebalance_sell,3600,25.28980094708278,91043.28340949802,91.04328340949802,,1.5195410174027981,90952.24012608852,24.10414076242529,4.9189066573397975,13.0
2025-02-28,600887.SH,rebalance_sell,2300,32.77400021935871,75380.20050452504,75.38020050452504,,1.2581192403999266,75304.82030402051,32.04397377162401,2.278201988734505,10.0
2025-02-28,002507.SZ,rebalance_sell,3600,18.63055540156034,67069.99944561723,67.06999944561723,,1.1194193726120167,67002.9294461716,18.626468242911862,0.02194274617805215,10.0
2025-02-28,603878.SH,rebalance_sell,3400,13.652188611635864,46417.441279561936,46.417441279561935,,0.7747216851783912,46371.02383828237,13.553610800601152,0.7273177051117602,10.0
2025-02-28,002025.SZ,rebalance_sell,1100,54.808784200269734,60289.66262029671,60.28966262029671,,1.0062534197592405,60229.37295767641,50.91983381797187,7.637398024903375,5.0
2025-02-28,688425.SH,rebalance_sell,13700,4.49778378264331,61619.63782221335,61.61963782221335,,1.0284511239254117,61558.018184391134,4.4217395215745805,1.7197815632896079,4.0
2025-02-28,600458.SH,rebalance_sell,3900,13.864498634582686,54071.54467487248,54.07154467487248,,0.9024710767321127,54017.473130197606,13.268557632009879,4.4913774285090575,2.0
2025-02-28,001979.SZ,rebalance_sell,5900,12.024680532377513,70945.61514102733,70.94561514102733,,1.1841046167763472,70874.6695258863,11.681052339181454,2.9417571569595298,2.0
2025-02-28,600894.SH,buy,39600,14.976291736090515,593061.1527491844,593.0611527491844,593654.2139019336,9.898377054100807,,,,
2025-03-03,600887.SH,sell,18100,32.936939140903824,596158.5984503592,596.1585984503592,,10.014791205450587,595562.4398519088,32.04397377162401,2.7866873679398783,11.0
2025-03-03,002508.SZ,rebalance_buy,1900,25.724845055724312,48877.205605876195,48.8772056058762,48926.08281148207,0.821081856608478,,,,
2025-03-03,002507.SZ,rebalance_buy,3400,18.519328205133114,62965.71589745259,62.96571589745259,63028.68161335004,1.0577529191960755,,,,
2025-03-03,603878.SH,rebalance_buy,5300,13.402605638845447,71033.80988588087,71.03380988588087,71104.84369576674,1.1932877868136702,,,,
2025-03-03,002025.SZ,rebalance_buy,1400,52.99480611435954,74192.72856010335,74.19272856010335,74266.92128866345,1.246354053138723,,,,
2025-03-03,688425.SH,rebalance_buy,16800,4.401402701586668,73943.56538665602,73.94356538665602,74017.50895204267,1.2421683932075422,,,,
2025-03-03,600458.SH,rebalance_buy,3900,14.012442979768782,54648.52762109825,54.648527621098246,54703.17614871934,0.9180335488462641,,,,
2025-03-03,001979.SZ,rebalance_buy,5200,11.988242106521822,62338.85895391348,62.33885895391348,62401.19781286739,1.0472224304611153,,,,
2025-03-03,600894.SH,rebalance_buy,4400,14.874412200470852,65447.41368207175,65.44741368207175,65512.86109575382,1.0994426393688521,,,,
2025-03-04,600458.SH,sell,46700,14.044145339451516,655861.5873523857,655.8615873523858,,10.994810865077339,655205.7257650334,13.330680819510086,5.352048628283419,4.0
