trade_date,ts_code
2020-07-13,SH600444
2020-07-13,SH600493
2020-07-13,SZ002144
2020-07-13,SH600605
2020-07-13,SZ300421
2020-07-20,SZ300700
2020-07-20,SZ300554
2020-07-20,SH603090
2020-07-20,SH600202
2020-07-20,SZ300717
2020-07-20,SH512890
2020-07-20,SH600444
2020-07-20,SZ300421
2020-07-20,SZ002144
2020-07-20,SZ002899
2020-07-27,SH603320
2020-07-27,SH603286
2020-07-27,SZ300700
2020-07-27,SZ300554
2020-07-27,SZ300321
2020-07-27,SH512890
2020-07-27,SH600444
2020-07-27,SZ300421
2020-07-27,SZ002144
2020-07-27,SZ002899
2020-08-03,SH603320
2020-08-03,SH603286
2020-08-03,SZ300321
2020-08-03,SH512890
2020-08-03,SH600444
2020-08-03,SH600493
2020-08-03,SZ002144
2020-08-03,SH600719
2020-08-03,SZ300421
2020-08-03,SH603161
2020-08-10,SH603320
2020-08-10,SH603286
2020-08-10,SH603159
2020-08-10,SH603813
2020-08-10,SZ300321
2020-08-10,SH512890
2020-08-10,SH600444
2020-08-10,SH600493
2020-08-10,SZ002144
2020-08-10,SZ300421
2020-08-17,SH603286
2020-08-17,SH600137
2020-08-17,SH600202
2020-08-17,SH603356
2020-08-17,SH603908
2020-08-17,SZ300321
2020-08-17,SH603813
2020-08-17,SH512890
2020-08-17,SH600493
2020-08-17,SH603729
2020-08-24,SH603286
2020-08-24,SH600137
2020-08-24,SH600202
2020-08-24,SZ002857
2020-08-24,SH603908
2020-08-24,SZ300321
2020-08-24,SH603813
2020-08-24,SH512890
2020-08-24,SH600493
2020-08-24,SH600719
2020-08-31,SH603286
2020-08-31,SZ300665
2020-08-31,SH603908
2020-08-31,SZ300321
2020-08-31,SH603813
2020-08-31,SH512890
2020-08-31,SZ300535
2020-08-31,SH600444
2020-08-31,SH600493
2020-08-31,SH600719
2020-09-07,SH603286
2020-09-07,SH600137
2020-09-07,SZ300665
2020-09-07,SH603813
2020-09-07,SH603729
2020-09-07,SH512890
2020-09-07,SZ300535
2020-09-07,SH600444
2020-09-07,SH600493
2020-09-07,SH603269
2020-09-07,SH600719
2020-09-14,SZ000586
2020-09-14,SH603286
2020-09-14,SH600768
2020-09-14,SZ300665
2020-09-14,SH603316
2020-09-14,SH603908
2020-09-14,SH603813
2020-09-14,SH512890
2020-09-14,SH600444
2020-09-14,SH600493
2020-09-14,SH603269
2020-09-21,SZ000586
2020-09-21,SZ000702
2020-09-21,SH600137
2020-09-21,SH603286
2020-09-21,SH600768
2020-09-21,SH603316
2020-09-21,SH603729
2020-09-21,SH512890
