metric,value
total_days,2066.0
trading_days,1373.0
years,5.6563997262149215
start_value,1000000.0
end_value,14433783.408033375
total_return,1343.3783408033373
annual_return,60.31267708122257
annual_volatility,31.326526800522874
downside_volatility,21.47552244707791
max_drawdown,-29.717901945965096
sharpe_ratio,1.829525419340964
calmar_ratio,2.0295065644568973
sortino_ratio,2.668744251622194
win_rate,58.056155507559396
profit_loss_ratio,1.4021497206915008
total_trades,12061.0
total_commission,2177630.3718216554
avg_positions,0.9992716678805535
turnover_rate,4002.278167220359
benchmark_total_return,40.83817751009677
benchmark_annual_return,6.49175668378057
benchmark_volatility,20.192054575006953
benchmark_max_drawdown,-37.16814306813671
benchmark_sharpe,0.17292726061183236
excess_return,1302.5401632932405
annual_excess_return,53.820920397441995
tracking_error,33.98969872238051
information_ratio,38.321615438020444
beta,0.28668113472760703
alpha,56.31165631292364
