metric,value
total_days,2066.0
trading_days,1373.0
years,5.6563997262149215
start_value,999015.8009999999
end_value,2460978.4152535074
total_return,146.3402893918299
annual_return,17.278905483244266
annual_volatility,21.748050894822953
downside_volatility,16.183934080641013
max_drawdown,-21.640714828200185
sharpe_ratio,0.6565602385381262
calmar_ratio,0.7984443037310389
sortino_ratio,0.8822889052869096
win_rate,60.61538461538461
profit_loss_ratio,1.3140583022187122
total_trades,959.0
total_commission,110819.63384806948
avg_positions,1.0
turnover_rate,622.10656448554
benchmark_total_return,40.83817751009677
benchmark_annual_return,6.49175668378057
benchmark_volatility,20.192054575006953
benchmark_max_drawdown,-37.16814306813671
benchmark_sharpe,0.17292726061183236
excess_return,105.50211188173314
annual_excess_return,10.787148799463697
tracking_error,15.472627205861162
information_ratio,6.818629472425217
beta,0.7864417480410016
alpha,11.532842253118025
