trade_date,ts_code,trade_type
2022-02-25,002837.SZ,sell
2022-02-25,002507.SZ,sell
2022-02-25,000063.SZ,sell
2022-02-25,601058.SH,sell
2022-02-25,603105.SH,sell
2022-02-25,002060.SZ,sell
2022-02-25,603288.SH,sell
2022-02-25,601126.SH,sell
2022-02-25,601872.SH,sell
2022-02-28,000063.SZ,buy
2022-02-28,002060.SZ,buy
2022-02-28,603288.SH,buy
2022-02-28,601126.SH,buy
2022-02-28,601872.SH,buy
2022-02-28,600557.SH,buy
2022-02-28,002056.SZ,buy
2022-02-28,603105.SH,sell
2022-02-28,601872.SH,sell
2022-02-28,002056.SZ,sell
2022-02-28,000063.SZ,sell
2022-02-28,002060.SZ,sell
2022-02-28,601126.SH,sell
2022-02-28,603288.SH,sell
2022-03-01,600557.SH,buy
2022-03-01,601872.SH,buy
2022-03-01,002056.SZ,buy
2022-03-01,002060.SZ,buy
2022-03-01,688687.SH,buy
2022-03-01,603288.SH,buy
2022-03-01,601872.SH,sell
2022-03-01,002056.SZ,sell
2022-03-01,000063.SZ,sell
2022-03-01,600557.SH,sell
2022-03-01,002060.SZ,sell
2022-03-01,601126.SH,sell
2022-03-01,603288.SH,sell
2022-03-02,300012.SZ,buy
2022-03-02,002056.SZ,buy
2022-03-02,002060.SZ,buy
2022-03-02,688687.SH,buy
2022-03-02,603288.SH,sell
2022-03-02,600557.SH,buy
2022-03-02,002056.SZ,sell
2022-03-02,688687.SH,sell
2022-03-02,600557.SH,sell
2022-03-02,002060.SZ,sell
2022-03-02,601872.SH,sell
2022-03-03,600557.SH,buy
2022-03-03,002056.SZ,buy
2022-03-03,002060.SZ,buy
2022-03-03,688687.SH,buy
2022-03-03,300012.SZ,buy
2022-03-03,600276.SH,buy
2022-03-03,300012.SZ,sell
2022-03-03,002056.SZ,sell
2022-03-03,688687.SH,sell
2022-03-03,600557.SH,sell
2022-03-03,002060.SZ,sell
2022-03-04,002056.SZ,buy
2022-03-04,600557.SH,buy
2022-03-04,002060.SZ,buy
2022-03-04,688687.SH,buy
2022-03-04,600511.SH,buy
2022-03-04,300012.SZ,buy
2022-03-04,002060.SZ,sell
2022-03-04,300012.SZ,sell
2022-03-04,002056.SZ,sell
2022-03-04,688687.SH,sell
2022-03-04,600557.SH,sell
2022-03-04,600276.SH,sell
2022-03-04,600276.SH,buy
2022-03-08,600511.SH,buy
2022-03-08,600557.SH,buy
2022-03-08,002056.SZ,buy
2022-03-08,002060.SZ,buy
2022-03-08,688687.SH,buy
2022-03-08,600511.SH,sell
2022-03-08,600276.SH,buy
2022-03-08,300012.SZ,sell
2022-03-08,002056.SZ,sell
2022-03-08,688687.SH,sell
2022-03-08,600557.SH,sell
2022-03-08,002060.SZ,sell
2022-03-08,600276.SH,sell
2022-03-09,600511.SH,buy
2022-03-09,002060.SZ,buy
2022-03-09,688687.SH,buy
2022-03-09,600511.SH,sell
2022-03-09,600557.SH,sell
2022-03-09,688687.SH,sell
2022-03-09,002060.SZ,sell
2022-03-09,600276.SH,sell
2022-03-09,002056.SZ,sell
2022-03-10,600511.SH,buy
2022-03-10,002060.SZ,buy
2022-03-10,002060.SZ,sell
2022-03-10,688687.SH,sell
2022-03-10,600511.SH,sell
2022-03-11,002060.SZ,sell
2022-03-11,600511.SH,sell
2022-03-11,002060.SZ,buy
2022-03-14,002060.SZ,sell
2022-03-14,002060.SZ,buy
2022-03-14,601928.SH,buy
2022-03-14,300181.SZ,buy
2022-03-14,600488.SH,buy
2022-03-15,002060.SZ,buy
2022-03-15,000589.SZ,buy
2022-03-15,601696.SH,buy
2022-03-15,601928.SH,buy
2022-03-15,000661.SZ,buy
2022-03-15,002216.SZ,buy
2022-03-15,002558.SZ,buy
2022-03-15,603309.SH,buy
2022-03-15,002060.SZ,sell
2022-03-15,601928.SH,sell
2022-03-15,300181.SZ,sell
2022-03-15,600488.SH,sell
2022-03-15,300181.SZ,buy
2022-03-16,000589.SZ,buy
2022-03-16,601696.SH,buy
2022-03-16,000661.SZ,buy
2022-03-16,002060.SZ,buy
2022-03-16,002216.SZ,buy
2022-03-16,600380.SH,buy
2022-03-16,300181.SZ,buy
2022-03-16,603309.SH,buy
2022-03-16,002558.SZ,buy
2022-03-16,002558.SZ,sell
2022-03-16,603309.SH,sell
2022-03-16,601928.SH,sell
2022-03-16,000661.SZ,sell
2022-03-16,002060.SZ,sell
2022-03-16,000589.SZ,sell
2022-03-16,300181.SZ,sell
2022-03-16,601696.SH,sell
2022-03-16,002216.SZ,sell
2022-03-17,002216.SZ,sell
2022-03-17,002060.SZ,buy
2022-03-17,688687.SH,buy
2022-03-17,002920.SZ,buy
2022-03-17,601696.SH,buy
2022-03-17,300181.SZ,buy
2022-03-17,002558.SZ,sell
2022-03-17,600380.SH,sell
2022-03-17,000661.SZ,sell
2022-03-17,002060.SZ,sell
2022-03-17,603309.SH,sell
2022-03-17,000589.SZ,sell
2022-03-17,300181.SZ,sell
2022-03-17,601696.SH,sell
2022-03-18,300181.SZ,buy
2022-03-18,002060.SZ,buy
2022-03-18,688687.SH,buy
2022-03-18,002920.SZ,buy
2022-03-18,688687.SH,sell
2022-03-18,002060.SZ,sell
2022-03-18,002920.SZ,sell
2022-03-18,300181.SZ,sell
2022-03-18,601696.SH,sell
2022-03-21,002472.SZ,buy
2022-03-21,000887.SZ,buy
2022-03-21,002555.SZ,buy
2022-03-21,002060.SZ,buy
2022-03-21,688687.SH,buy
2022-03-21,002920.SZ,buy
2022-03-21,600511.SH,buy
2022-03-21,600789.SH,buy
2022-03-21,002558.SZ,buy
2022-03-21,002060.SZ,sell
2022-03-21,300181.SZ,sell
2022-03-21,002920.SZ,sell
2022-03-21,688687.SH,sell
2022-03-21,300181.SZ,buy
2022-03-22,600511.SH,buy
2022-03-22,002472.SZ,buy
2022-03-22,000887.SZ,buy
2022-03-22,002555.SZ,buy
2022-03-22,002060.SZ,buy
2022-03-22,002920.SZ,buy
2022-03-22,300181.SZ,buy
2022-03-22,600789.SH,buy
2022-03-22,600511.SH,sell
2022-03-22,002558.SZ,buy
2022-03-22,600789.SH,sell
2022-03-22,002472.SZ,sell
2022-03-22,002555.SZ,sell
2022-03-22,000887.SZ,sell
2022-03-22,688687.SH,sell
2022-03-22,002060.SZ,sell
2022-03-22,002920.SZ,sell
2022-03-22,300181.SZ,sell
2022-03-22,002558.SZ,sell
2022-03-23,300181.SZ,buy
2022-03-23,002920.SZ,buy
2022-03-23,601899.SH,buy
2022-03-23,002555.SZ,buy
2022-03-23,600511.SH,buy
2022-03-23,601108.SH,buy
2022-03-23,002472.SZ,buy
2022-03-23,600789.SH,buy
2022-03-23,000887.SZ,buy
2022-03-23,002558.SZ,buy
2022-03-23,002558.SZ,sell
2022-03-23,600511.SH,sell
2022-03-23,600789.SH,sell
2022-03-23,002472.SZ,sell
2022-03-23,002555.SZ,sell
2022-03-23,000887.SZ,sell
2022-03-23,002060.SZ,sell
2022-03-23,002920.SZ,sell
2022-03-23,300181.SZ,sell
2022-03-24,601899.SH,buy
2022-03-24,002472.SZ,buy
2022-03-24,002920.SZ,buy
2022-03-24,601108.SH,buy
2022-03-24,002555.SZ,buy
2022-03-24,600789.SH,buy
2022-03-24,002558.SZ,buy
2022-03-24,600511.SH,sell
2022-03-24,600789.SH,sell
2022-03-24,002472.SZ,sell
2022-03-24,002555.SZ,sell
2022-03-24,000887.SZ,sell
2022-03-24,002920.SZ,sell
2022-03-24,601108.SH,sell
2022-03-24,601899.SH,sell
2022-03-24,300181.SZ,sell
2022-03-24,002558.SZ,sell
2022-03-25,600789.SH,buy
2022-03-25,601899.SH,buy
2022-03-25,600016.SH,buy
2022-03-25,002236.SZ,buy
2022-03-25,002555.SZ,buy
2022-03-25,600875.SH,buy
2022-03-25,002558.SZ,buy
2022-03-25,002558.SZ,sell
2022-03-25,600789.SH,sell
2022-03-25,601899.SH,sell
2022-03-25,601108.SH,sell
2022-03-25,002555.SZ,sell
2022-03-25,002472.SZ,sell
2022-03-25,002920.SZ,sell
2022-03-28,600789.SH,buy
2022-03-28,300824.SZ,buy
2022-03-28,000756.SZ,buy
2022-03-28,002555.SZ,buy
2022-03-28,600875.SH,buy
2022-03-28,601899.SH,buy
2022-03-28,600016.SH,buy
2022-03-28,002236.SZ,buy
2022-03-28,600916.SH,buy
2022-03-28,002558.SZ,sell
2022-03-28,600789.SH,sell
2022-03-28,002555.SZ,sell
2022-03-28,600875.SH,sell
2022-03-28,002236.SZ,sell
2022-03-28,601899.SH,sell
2022-03-28,600016.SH,sell
2022-03-28,002558.SZ,buy
2022-03-29,600789.SH,buy
2022-03-29,600916.SH,buy
2022-03-29,002236.SZ,sell
2022-03-29,600016.SH,buy
2022-03-29,601899.SH,buy
2022-03-29,002558.SZ,buy
2022-03-29,000756.SZ,buy
2022-03-29,300824.SZ,sell
2022-03-29,601899.SH,sell
2022-03-29,600789.SH,sell
2022-03-29,002555.SZ,sell
2022-03-29,600916.SH,sell
2022-03-29,600875.SH,sell
2022-03-29,600016.SH,sell
2022-03-29,000756.SZ,sell
2022-03-29,002558.SZ,sell
2022-04-07,002352.SZ,buy
2022-04-07,601888.SH,buy
2022-04-07,601601.SH,buy
2022-04-07,601899.SH,buy
2022-04-07,600016.SH,buy
2022-04-07,600916.SH,buy
2022-04-07,600789.SH,buy
2022-04-07,002558.SZ,buy
2022-04-07,600789.SH,sell
2022-04-07,600916.SH,sell
2022-04-07,601899.SH,sell
2022-04-07,600016.SH,sell
2022-04-07,000756.SZ,sell
2022-04-07,002558.SZ,sell
2022-04-13,601899.SH,buy
2022-04-13,600016.SH,buy
2022-04-13,002352.SZ,buy
2022-04-13,601601.SH,buy
2022-04-13,600916.SH,buy
2022-04-13,600789.SH,buy
2022-04-13,002558.SZ,buy
2022-04-13,600789.SH,sell
2022-04-13,002558.SZ,sell
2022-04-13,601888.SH,sell
2022-04-13,600916.SH,sell
2022-04-13,002352.SZ,sell
2022-04-13,601899.SH,sell
2022-04-13,600016.SH,sell
2022-04-13,601601.SH,sell
2022-04-14,300910.SZ,buy
2022-04-14,002352.SZ,buy
2022-04-14,300856.SZ,buy
2022-04-14,601601.SH,sell
2022-04-14,002352.SZ,sell
2022-04-14,600789.SH,sell
2022-04-14,002558.SZ,sell
2022-04-14,601899.SH,sell
