metric,value
total_days,2066.0
trading_days,1373.0
years,5.6563997262149215
start_value,1000000.0
end_value,15908992.308689773
total_return,1490.8992308689774
annual_return,63.09456538828866
annual_volatility,27.467838453023894
downside_volatility,17.818219597171
max_drawdown,-18.85123797604996
sharpe_ratio,2.1878155971779036
calmar_ratio,3.3469719849937056
sortino_ratio,3.3726470291021595
win_rate,64.35483870967742
profit_loss_ratio,1.5018006782702171
total_trades,2906.0
total_commission,1412285.1572200856
avg_positions,0.9992716678805535
turnover_rate,2161.009509642861
benchmark_total_return,40.83817751009677
benchmark_annual_return,6.49175668378057
benchmark_volatility,20.192054575006953
benchmark_max_drawdown,-37.16814306813671
benchmark_sharpe,0.17292726061183236
excess_return,1450.0610533588806
annual_excess_return,56.60280870450809
tracking_error,30.940030243032812
information_ratio,46.8668272774365
beta,0.25129526910152444
alpha,59.21710345280098
